target_overall_nhs_share,avg_wait_mean,avg_wait_ci_half,achieved_overall_nhs_share_mean,achieved_overall_nhs_share_ci_half,avg_travel_distance_mean,avg_travel_distance_ci_half
0.3,97.81,0.01,52.21,0.01,59.51,0.04
0.4,97.81,0.01,52.21,0.01,59.49,0.04
0.5,97.81,0.0,52.2,0.01,59.52,0.02
0.6,97.23,0.0,53.96,0.0,60.0,0.03
0.7,97.1,0.01,53.61,0.02,59.94,0.03
0.8,97.09,0.0,53.62,0.01,59.91,0.04
0.9,97.1,0.01,53.63,0.02,59.95,0.02
